Start,End,Start Time,End Time,Action
0,60,00:00:00.000,00:00:01.001,None
61,877,00:00:01.018,00:00:14.631,None
878,952,00:00:14.648,00:00:15.883,None
953,1597,00:00:15.899,00:00:26.643,None
1598,2152,00:00:26.660,00:00:35.903,None
2153,2396,00:00:35.919,00:00:39.973,None
2397,2524,00:00:39.990,00:00:42.109,None
2525,3149,00:00:42.125,00:00:52.536,None
3150,3284,00:00:52.553,00:00:54.788,None
3285,3464,00:00:54.805,00:00:57.791,None
3465,3707,00:00:57.808,00:01:01.845,None
3708,3739,00:01:01.862,00:01:02.379,None
3740,4024,00:01:02.396,00:01:07.134,None
4025,4134,00:01:07.150,00:01:08.969,None
4135,4377,00:01:08.986,00:01:13.023,None
4378,4417,00:01:13.040,00:01:13.690,None
4418,4547,00:01:13.707,00:01:15.859,None
4548,4634,00:01:15.876,00:01:17.311,None
4635,4877,00:01:17.327,00:01:21.365,None
4878,5004,00:01:21.381,00:01:23.483,None
5005,5139,00:01:23.500,00:01:25.736,None
5140,5529,00:01:25.752,00:01:32.242,None
5530,5609,00:01:32.259,00:01:33.577,None
5610,5852,00:01:33.594,00:01:37.631,None
5853,5902,00:01:37.648,00:01:38.465,None
5903,6367,00:01:38.482,00:01:46.223,Fight
6368,6482,00:01:46.240,00:01:48.141,None
6483,6724,00:01:48.158,00:01:52.179,None
6725,6787,00:01:52.196,00:01:53.230,None
6788,7162,00:01:53.247,00:01:59.486,None
7163,7259,00:01:59.503,00:02:01.104,None
7260,7349,00:02:01.121,00:02:02.606,None
7350,7592,00:02:02.623,00:02:06.660,None
7593,7689,00:02:06.677,00:02:08.278,None
7690,7992,00:02:08.295,00:02:13.333,Fight
7993,8352,00:02:13.350,00:02:19.339,None
8353,8739,00:02:19.356,00:02:25.796,Fight
8740,8877,00:02:25.812,00:02:28.098,None
8878,9127,00:02:28.115,00:02:32.269,None
9128,9357,00:02:32.286,00:02:36.106,None
9358,9737,00:02:36.123,00:02:42.446,None
9738,10219,00:02:42.462,00:02:50.487,None
10220,11059,00:02:50.504,00:03:04.501,None
11060,11657,00:03:04.518,00:03:14.478,None
11658,11859,00:03:14.494,00:03:17.848,None
11860,11957,00:03:17.865,00:03:19.483,None
11958,12279,00:03:19.499,00:03:24.855,None
12280,12404,00:03:24.872,00:03:26.940,None
12405,12727,00:03:26.957,00:03:32.329,None
12728,12917,00:03:32.346,00:03:35.499,None
12918,12979,00:03:35.516,00:03:36.533,None
12980,13399,00:03:36.550,00:03:43.540,None
13400,13432,00:03:43.557,00:03:44.091,None
13433,13529,00:03:44.107,00:03:45.709,None
13530,13657,00:03:45.726,00:03:47.845,None
13658,14219,00:03:47.861,00:03:57.221,None
14220,14267,00:03:57.237,00:03:58.021,None
14268,14419,00:03:58.038,00:04:00.557,None
14420,14622,00:04:00.574,00:04:03.944,None
14623,14672,00:04:03.961,00:04:04.778,None
14673,15607,00:04:04.795,00:04:20.377,None
15608,15807,00:04:20.394,00:04:23.714,None
15808,16167,00:04:23.730,00:04:29.720,None
16168,16299,00:04:29.736,00:04:31.922,None
16300,16542,00:04:31.939,00:04:35.976,None
16543,16842,00:04:35.993,00:04:40.981,None
16843,16967,00:04:40.998,00:04:43.066,None
16968,17017,00:04:43.083,00:04:43.901,None
17018,17224,00:04:43.917,00:04:47.354,None
17225,17302,00:04:47.371,00:04:48.655,None
17303,17724,00:04:48.672,00:04:55.696,None
17725,17762,00:04:55.712,00:04:56.330,None
17763,18084,00:04:56.346,00:05:01.702,None
18085,18207,00:05:01.718,00:05:03.754,None
18208,18394,00:05:03.770,00:05:06.874,None
18395,18629,00:05:06.890,00:05:10.794,None
18630,19027,00:05:10.811,00:05:17.434,None
19028,19297,00:05:17.451,00:05:21.939,None
