sequence_id,start_frame,end_frame,start_time,end_time,duration
1,0,59,0.000 sec,0.984 sec,0.984 sec
2,59,887,0.984 sec,14.798 sec,13.814 sec
3,887,941,14.798 sec,15.699 sec,0.901 sec
4,941,3150,15.699 sec,52.553 sec,36.854 sec
5,3150,3285,52.553 sec,54.805 sec,2.252 sec
6,3285,3465,54.805 sec,57.808 sec,3.003 sec
7,3465,3708,57.808 sec,61.862 sec,4.054 sec
8,3708,3740,61.862 sec,62.396 sec,0.534 sec
9,3740,4025,62.396 sec,67.150 sec,4.755 sec
10,4025,4135,67.150 sec,68.986 sec,1.835 sec
11,4135,4378,68.986 sec,73.040 sec,4.054 sec
12,4378,4418,73.040 sec,73.707 sec,0.667 sec
13,4418,5530,73.707 sec,92.259 sec,18.552 sec
14,5530,5903,92.259 sec,98.482 sec,6.223 sec
15,5903,7163,98.482 sec,119.503 sec,21.021 sec
16,7163,7260,119.503 sec,121.121 sec,1.618 sec
17,7260,7593,121.121 sec,126.677 sec,5.556 sec
18,7593,7993,126.677 sec,133.350 sec,6.673 sec
19,7993,8740,133.350 sec,145.812 sec,12.462 sec
20,8740,8878,145.812 sec,148.115 sec,2.302 sec
21,8878,9128,148.115 sec,152.286 sec,4.171 sec
22,9128,9358,152.286 sec,156.123 sec,3.837 sec
23,9358,11060,156.123 sec,184.518 sec,28.395 sec
24,11060,11958,184.518 sec,199.499 sec,14.982 sec
25,11958,12280,199.499 sec,204.872 sec,5.372 sec
26,12280,13530,204.872 sec,225.726 sec,20.854 sec
27,13530,14268,225.726 sec,238.038 sec,12.312 sec
28,14268,15608,238.038 sec,260.394 sec,22.356 sec
29,15608,15808,260.394 sec,263.730 sec,3.337 sec
30,15808,16168,263.730 sec,269.736 sec,6.006 sec
31,16168,16843,269.736 sec,280.998 sec,11.261 sec
32,16843,16968,280.998 sec,283.083 sec,2.085 sec
33,16968,17018,283.083 sec,283.917 sec,0.834 sec
34,17018,17225,283.917 sec,287.371 sec,3.453 sec
35,17225,17303,287.371 sec,288.672 sec,1.301 sec
36,17303,17725,288.672 sec,295.712 sec,7.040 sec
37,17725,18208,295.712 sec,303.770 sec,8.058 sec
38,18208,18395,303.770 sec,306.890 sec,3.120 sec
39,18395,18630,306.890 sec,310.811 sec,3.921 sec
40,18630,19028,310.811 sec,317.451 sec,6.640 sec
41,19028,19298,317.451 sec,321.955 sec,4.505 sec
42,19298,20933,321.955 sec,349.233 sec,27.277 sec
43,20933,21193,349.233 sec,353.570 sec,4.338 sec
44,21193,21425,353.570 sec,357.441 sec,3.871 sec
45,21425,23397,357.441 sec,390.340 sec,32.900 sec
46,23397,23632,390.340 sec,394.261 sec,3.921 sec
47,23632,23757,394.261 sec,396.346 sec,2.085 sec
48,23757,23945,396.346 sec,399.483 sec,3.136 sec
49,23945,24157,399.483 sec,403.020 sec,3.537 sec
50,24157,24400,403.020 sec,407.074 sec,4.054 sec
51,24400,24821,407.074 sec,414.097 sec,7.024 sec
52,24821,25184,414.097 sec,420.153 sec,6.056 sec
53,25184,25396,420.153 sec,423.690 sec,3.537 sec
54,25396,25569,423.690 sec,426.577 sec,2.886 sec
55,25569,25684,426.577 sec,428.495 sec,1.919 sec
56,25684,25909,428.495 sec,432.249 sec,3.754 sec
57,25909,26134,432.249 sec,436.003 sec,3.754 sec
58,26134,26234,436.003 sec,437.671 sec,1.668 sec
59,26234,26366,437.671 sec,439.873 sec,2.202 sec
60,26366,26459,439.873 sec,441.425 sec,1.552 sec
61,26459,26599,441.425 sec,443.760 sec,2.336 sec
62,26599,27026,443.760 sec,450.884 sec,7.124 sec
63,27026,27239,450.884 sec,454.438 sec,3.554 sec
64,27239,27379,454.438 sec,456.773 sec,2.336 sec
65,27379,27454,456.773 sec,458.025 sec,1.251 sec
66,27454,27579,458.025 sec,460.110 sec,2.085 sec
67,27579,27651,460.110 sec,461.311 sec,1.201 sec
68,27651,27746,461.311 sec,462.896 sec,1.585 sec
69,27746,27959,462.896 sec,466.450 sec,3.554 sec
70,27959,28189,466.450 sec,470.287 sec,3.837 sec
71,28189,28306,470.287 sec,472.239 sec,1.952 sec
72,28306,28429,472.239 sec,474.291 sec,2.052 sec
73,28429,28551,474.291 sec,476.326 sec,2.035 sec
74,28551,28711,476.326 sec,478.996 sec,2.669 sec
75,28711,28814,478.996 sec,480.714 sec,1.718 sec
76,28814,28884,480.714 sec,481.882 sec,1.168 sec
